Frame_number,FPS,Time(in_s),confidence,Label
4.0,23.976023976023978,0.16683333333333333,0.5023390054702759,Shirt
5.0,23.976023976023978,0.20854166666666665,0.5046340823173523,Shirt
6.0,23.976023976023978,0.25025,0.540701687335968,Shirt
7.0,23.976023976023978,0.2919583333333333,0.6571438908576965,Shirt
8.0,23.976023976023978,0.33366666666666667,0.6596682667732239,Shirt
9.0,23.976023976023978,0.37537499999999996,0.6472719311714172,Shirt
10.0,23.976023976023978,0.4170833333333333,0.5975887179374695,Shirt
11.0,23.976023976023978,0.45879166666666665,0.6553701162338257,Shirt
12.0,23.976023976023978,0.5005,0.7446616888046265,Shirt
13.0,23.976023976023978,0.5422083333333333,0.7867494821548462,Shirt
14.0,23.976023976023978,0.5839166666666666,0.8073797821998596,Shirt
15.0,23.976023976023978,0.625625,0.8236121535301208,Shirt
16.0,23.976023976023978,0.6673333333333333,0.8189078569412231,Shirt
17.0,23.976023976023978,0.7090416666666666,0.7621381282806396,Shirt
18.0,23.976023976023978,0.7507499999999999,0.7858017683029175,Shirt
19.0,23.976023976023978,0.7924583333333333,0.6805675029754639,Shirt
20.0,23.976023976023978,0.8341666666666666,0.6252856254577637,Shirt
45.0,23.976023976023978,1.8768749999999998,0.5522464513778687,Shirt
46.0,23.976023976023978,1.9185833333333333,0.615013062953949,Shirt
47.0,23.976023976023978,1.9602916666666665,0.5791847705841064,Shirt
48.0,23.976023976023978,2.002,0.595847487449646,Shirt
56.0,23.976023976023978,2.3356666666666666,0.5062739253044128,Shirt
63.0,23.976023976023978,2.6276249999999997,0.6111169457435608,Shirt
144.0,23.976023976023978,6.005999999999999,0.6838343739509583,Shirt
145.0,23.976023976023978,6.047708333333333,0.5336506962776184,Shirt
146.0,23.976023976023978,6.089416666666666,0.5411964058876038,Shirt
147.0,23.976023976023978,6.131125,0.5332061052322388,Shirt
148.0,23.976023976023978,6.172833333333333,0.6438031196594238,Shirt
149.0,23.976023976023978,6.214541666666666,0.5008710622787476,Shirt
216.0,23.976023976023978,9.008999999999999,0.6056238412857056,Shirt
217.0,23.976023976023978,9.050708333333333,0.5842941999435425,Shirt
218.0,23.976023976023978,9.092416666666667,0.5894849896430969,Shirt
219.0,23.976023976023978,9.134125,0.6077688932418823,Shirt
220.0,23.976023976023978,9.175833333333333,0.590391218662262,Shirt
221.0,23.976023976023978,9.217541666666666,0.6288646459579468,Shirt
222.0,23.976023976023978,9.25925,0.6595024466514587,Shirt
223.0,23.976023976023978,9.300958333333332,0.6418065428733826,Shirt
224.0,23.976023976023978,9.342666666666666,0.6010432243347168,Shirt
225.0,23.976023976023978,9.384374999999999,0.575439989566803,Shirt
226.0,23.976023976023978,9.426083333333333,0.5382215976715088,Shirt
309.0,23.976023976023978,12.887875,0.5150802135467529,Shirt
313.0,23.976023976023978,13.054708333333332,0.567410409450531,Shirt
314.0,23.976023976023978,13.096416666666666,0.5980433821678162,Shirt
315.0,23.976023976023978,13.138124999999999,0.6263037919998169,Shirt
316.0,23.976023976023978,13.179833333333333,0.6240097880363464,Shirt
317.0,23.976023976023978,13.221541666666665,0.6015903949737549,Shirt
318.0,23.976023976023978,13.26325,0.6898359060287476,Shirt
319.0,23.976023976023978,13.304958333333332,0.6745204925537109,Shirt
320.0,23.976023976023978,13.346666666666666,0.6450673937797546,Shirt
321.0,23.976023976023978,13.388375,0.6129271984100342,Shirt
322.0,23.976023976023978,13.430083333333332,0.574149489402771,Shirt
324.0,23.976023976023978,13.513499999999999,0.591601550579071,Shirt
325.0,23.976023976023978,13.555208333333333,0.5586391091346741,Shirt
398.0,23.976023976023978,16.599916666666665,0.5271216034889221,Shirt
399.0,23.976023976023978,16.641624999999998,0.5636295676231384,Shirt
400.0,23.976023976023978,16.683333333333334,0.5387178659439087,Shirt
401.0,23.976023976023978,16.725041666666666,0.5368937849998474,Shirt
402.0,23.976023976023978,16.76675,0.5301894545555115,Shirt
403.0,23.976023976023978,16.80845833333333,0.5136269330978394,Shirt
409.0,23.976023976023978,17.058708333333332,0.5021156072616577,Shirt
422.0,23.976023976023978,17.600916666666667,0.589859664440155,Shirt
423.0,23.976023976023978,17.642625,0.5577322840690613,Shirt
424.0,23.976023976023978,17.68433333333333,0.5538281202316284,Shirt
425.0,23.976023976023978,17.726041666666667,0.5888188481330872,Shirt
426.0,23.976023976023978,17.76775,0.5355069041252136,Shirt
427.0,23.976023976023978,17.809458333333332,0.5936182141304016,Shirt
428.0,23.976023976023978,17.851166666666664,0.628576934337616,Shirt
429.0,23.976023976023978,17.892875,0.6826192736625671,Shirt
430.0,23.976023976023978,17.934583333333332,0.676568329334259,Shirt
431.0,23.976023976023978,17.976291666666665,0.6417569518089294,Shirt
649.0,23.976023976023978,27.06870833333333,0.5101930499076843,Shirt
650.0,23.976023976023978,27.110416666666666,0.5499886274337769,Shirt
651.0,23.976023976023978,27.152124999999998,0.5758748650550842,Shirt
652.0,23.976023976023978,27.19383333333333,0.5833877921104431,Shirt
653.0,23.976023976023978,27.235541666666666,0.5782546401023865,Shirt
654.0,23.976023976023978,27.27725,0.5390974879264832,Shirt
655.0,23.976023976023978,27.31895833333333,0.5461898446083069,Shirt
656.0,23.976023976023978,27.360666666666663,0.5335271954536438,Shirt
657.0,23.976023976023978,27.402375,0.5039855241775513,Shirt
658.0,23.976023976023978,27.44408333333333,0.5162084102630615,Shirt
659.0,23.976023976023978,27.485791666666664,0.5669942498207092,Shirt
660.0,23.976023976023978,27.527499999999996,0.5272446870803833,Shirt
664.0,23.976023976023978,27.694333333333333,0.5199426412582397,Shirt
667.0,23.976023976023978,27.81945833333333,0.6011449694633484,Shirt
670.0,23.976023976023978,27.94458333333333,0.5741026997566223,Shirt
671.0,23.976023976023978,27.986291666666666,0.5238543748855591,Shirt
672.0,23.976023976023978,28.028,0.5129146575927734,Shirt
